JUMLAH SARANA PRASARANA (ASET),,,,,,,,,,,,,,
KARTU INVENTARIS BARANG (KIB B) PERALATAN DAN MESIN,,,,,,,,,,,,,,
Nomor,Kode Barang,Jenis Barang,Nomor Register,Merk/Type,Ukuran/CC,Bahan,Tahun Pembelian,Nomor Pabrik,,,,Asal usul,Harga (ribuanRp),Keterangan
,,,,,,,,Rangka,Mesin,Polisi,BPKB,,,
128,02.06.02.04.001,LEMARI ES,1,POLYTRON,,,2019,,,,,PEMBELIAN,"4,471.70",KULKAS 2 PINTU
129,02.06.02.04.006,KIPAS ANGIN,1,TORNADO FAL VAN,,,2019,,,,,PEMBELIAN,256.7,
130,02.06.02.05.015,DISPENSER,0001 s/d 0003,MIYAKO,,,2019,,,,,PEMBELIAN,"1,500.00",DISPENSER
131,02.06.02.06.022,CAMERA FILM,1,NIKON/D 5600 18-55 VR KIT,,,2019,,,,,PEMBELIAN,"30,000.00",CAMERA DIGITAL
132,02.06.04.01.004,MEJA KERJA PEJABAT ESELON II,0001 s/d 0002,,,,2019,,,,,PEMBELIAN,"20,000.00",
133,02.07.01.01.003,PROYEKTOR + ATTACHMENT,1,EPSON/EB-W05,,,2019,,,,,PEMBELIAN,"12,600.00",PENGELOLAAN LAYANAN INFORMASI DAN DOKUMENTASI
134,02.09. 02.04.063,BATERAI,0001 s/d 0007,ONE EL EL,ELEKTRONIK,,2019,,,,,PEMBELIAN,"5,600.00",BATERAI KAMERA
135,02.07.01.01.001,CAMERA + ATTACHMENT,0006 s/d 0007,NIKON / D-5600,,,2020,,,,,PEMBELIAN,"42,750.00",
136,02.07.01.01.040,MICROPHONE/WIRWLESS MIC,0001 s/d 0003,UWMIC/HU9,,,2020,,,,,PEMBELIAN,"7,500.00",
137,02.07.01.01.068,MOUNTING BREAKEN,0001 s/d 0003,TH 650/DV SOMITA ST,,,2020,,,,,PEMBELIAN,"3,375.00",
138,02.07.01.02.101,BATERAI CAMERA (LI-ION/POLYMER,0001 s/d 0003,"MDH2LI-ION/VOLT 7,2V5600AH",,,2020,,,,,PEMBELIAN,"3,000.00",
139,02.07.03.09.001,ANTENA UHF PORTABLE,1,ALLMIX 3 DAK/ALO PORTABLE,,,2020,,,,,PEMBELIAN,"97,350.00",
140,02.06.01.05.017,MESIN ABSENSI,77,,,,2022,,,,,PEMBELIAN,"3,419.00",
141,02.06.03.02.002,LAP TOP,16,LENOVO/R758DDH,,,2022,,,,,PEMBELIAN,"22,000.00",
142,02.09. 01.47.062,PERSONAL KOMPUTER,1,HUAWEI MATEPAD T105,,,2022,,,,,PEMBELIAN,"3,485.05",
143,02.09. 01.47.062,PERSONAL KOMPUTER,2,LENOVO FLEX5-27ID,,,2022,,,,,PEMBELIAN,"12,404.74",
